ALERT,kycRiskScore,income,tenureMonths,creditScore,state,nbrPurchases90d,avgTxnSize90d,totalSpend90d,csrNotes,nbrDistinctMerch90d,nbrMerchCredits90d,nbrMerchCreditsRndDollarAmt90d,totalMerchCred90d,nbrMerchCreditsWoOffsettingPurch,nbrPayments90d,totalPaymentAmt90d,overpaymentAmt90d,overpaymentInd90d,nbrCustReqRefunds90d,indCustReqRefund90d,totalRefundsToCust90d,nbrPaymentsCashLike90d,maxRevolveLine,indOwnsHome,nbrInquiries1y,nbrCollections3y,nbrWebLogins90d,nbrPointRed90d,PEP,SAR,record_id
1,2,84600.0,14,682,PA,140,70.9,9926.0,late payment card replace plastic replace overseas atm,74,13,3,919.2,4,4,9926.0,0.0,0,1,1,61.1,4,15000,0,3,0,8,0,0,0,67418020
1,1,59500.0,1,735,MA,25,195.27,4881.75,plastic replace   customer call moneyorder payment,8,3,2,574.33,1,3,9437.23,4555.48,1,2,1,4600.72,3,8000,1,3,1,4,0,0,1,99534908
1,1,129500.0,5,765,ME,71,126.04,8948.84, ,36,6,2,795.08,3,5,11553.01,2604.17,1,2,1,2672.1,5,11000,1,4,1,4,2,0,0,17209466
1,3,7300.0,25,760,NY,12,51.85,622.2, ,4,2,0,102.6,0,4,622.2,0.0,0,1,1,42.47,1,16000,1,6,0,8,0,0,0,67074338
1,1,54200.0,47,724,NY,86,68.91,5926.26, ,42,13,2,864.84,5,4,5926.26,0.0,0,1,1,42.62,4,12000,1,4,0,4,0,0,0,95516873
1,0,28800.0,1,717,MA,32,25.84,826.88, ,18,3,1,75.54,0,3,826.88,0.0,0,1,1,28.98,0,15000,1,4,0,3,0,0,0,85810468
1,1,39500.0,34,731,ME,5,116.32,581.6,change request plastic replace change request statement,2,0,0,0.0,0,2,581.6,0.0,0,1,1,42.94,0,13000,1,5,0,7,2,0,0,28227164
1,1,56200.0,82,772,NY,15,13.29,199.35,card replace customer call  ,8,2,1,28.97,1,3,199.35,0.0,0,1,1,42.16,0,10000,0,5,0,5,0,0,0,11792387
1,0,52100.0,34,799,NY,7,387.9,2715.3,customer call statement password change statement,4,0,0,0.0,0,3,2715.3,0.0,0,1,1,60.0,0,9000,1,2,0,8,0,0,0,17840965
1,3,97300.0,16,696,NY,174,9.61,1672.14,plastic replace change request billing address,93,21,2,204.86,10,3,1833.8,161.66,1,3,1,189.67,2,10000,0,3,0,7,1,0,0,17769560
1,2,36500.0,9,747,NJ,24,22.18,532.32, ,9,4,0,86.2,3,2,60.0,0.0,0,1,1,55.04,0,11000,0,2,0,14,2,0,0,28149544
1,0,92400.0,90,668,NY,2,334.27,668.54, ,2,0,0,0.0,0,2,668.54,0.0,0,1,1,33.8,0,14000,1,4,2,7,0,0,0,78015132
1,2,25800.0,20,719,NY,5,571.23,2856.15, ,4,0,0,0.0,0,4,2856.15,0.0,0,1,1,60.06,0,11000,0,2,0,6,1,0,0,86352590
1,1,33700.0,1,658,PA,55,320.78,17642.9,plastic replace billing address transfer bitcoin,25,2,1,651.59,1,4,17642.9,0.0,0,1,1,58.52,4,9000,1,4,0,5,1,0,0,32626074
1,2,44100.0,13,671,NY,3,64.85,194.55,card replace customer call customer call statement,2,0,0,0.0,0,2,60.0,0.0,0,1,1,36.47,0,6000,0,4,0,9,1,0,0,88831668
1,3,20400.0,50,625,NY,6,335.97,2015.82, ,2,0,0,0.0,0,4,2015.82,0.0,0,1,1,28.7,0,15000,0,6,0,8,1,0,0,20702824
1,1,20000.0,3,734,RI,9,0.0,0.0,plastic replace card replace password change,3,1,0,0.0,0,2,60.0,60.0,1,2,1,60.0,0,15000,0,4,0,11,1,0,1,31942873
1,0,67100.0,0,703,MA,42,532.81,22378.02, ,23,3,0,1578.75,1,3,1118.9,0.0,0,1,1,36.28,3,12000,0,1,1,6,1,0,0,74853254
1,1,19200.0,44,716,NY,33,90.86,2998.38, ,21,4,2,350.84,1,2,2998.38,0.0,0,1,1,33.86,2,10000,0,1,0,7,2,0,0,48712195
1,4,15400.0,9,712,MA,17,167.65,2850.05,transfer customer call customer call bitcoin,7,6,2,1021.16,3,3,2850.05,0.0,0,1,1,33.22,3,17000,0,6,0,6,0,0,1,64163807
1,3,103100.0,75,763,NY,107,195.59,20928.13,    billing address atm denied,59,14,1,2781.39,10,7,37462.59,16534.46,1,1,1,16572.9,7,15000,0,3,0,7,2,0,1,35813710
1,0,38000.0,48,715,PA,10,84.41,844.1,change request password change password change,5,1,1,66.0,1,3,844.1,0.0,0,1,1,81.0,0,14000,0,2,0,6,0,0,0,12659347
1,2,23200.0,30,703,RI,15,153.34,2300.1,change request transfer password change,6,1,1,153.0,0,7,115.0,0.0,0,1,1,54.69,0,8000,1,4,0,8,2,0,0,69651555
1,3,,5,710,PA,71,358.6,25460.6,statement password change customer call atm limit,40,4,2,1433.2,2,3,25460.6,0.0,0,1,1,61.76,3,16000,1,4,0,11,1,0,1,71713720
1,2,14400.0,12,728,NJ,14,215.05,3010.7, ,8,3,2,622.35,1,3,150.54,0.0,0,1,1,46.84,3,14000,1,4,0,6,0,0,0,14729400
1,1,62600.0,4,676,ME,9,21.03,189.27,card replace card replace plastic replace,5,1,0,20.29,1,4,189.27,0.0,0,1,1,32.35,0,13000,1,3,0,7,2,0,0,71090275
1,1,42800.0,34,679,MA,51,429.1,21884.1, ,27,4,1,1720.72,1,6,1094.21,0.0,0,1,1,53.94,6,17000,1,4,0,2,1,0,0,47898473
1,2,,14,766,CT,1,102.82,102.82, ,0,0,0,0.0,0,3,60.0,0.0,0,1,1,49.77,0,21000,0,3,0,5,2,0,0,61937966
1,2,25900.0,34,638,NY,10,13.93,139.3, ,5,3,0,40.47,1,3,139.3,0.0,0,1,1,44.83,0,11000,1,2,2,11,1,0,0,67750144
1,2,41600.0,18,649,PA,14,17.65,247.1,card replace late payment plastic replace statement,10,0,0,0.0,0,2,247.1,0.0,0,1,1,60.25,0,16000,1,2,0,2,1,0,0,18224073
1,3,77600.0,13,661,ME,19,367.41,6980.79, ,14,0,0,0.0,0,3,349.04,0.0,0,1,1,52.05,0,12000,0,7,1,3,2,0,0,65562485
1,1,38800.0,38,728,CT,1,88.84,88.84, ,0,0,0,0.0,0,4,88.84,0.0,0,1,1,58.36,0,12000,1,3,0,7,1,0,0,27667551
1,3,121800.0,29,760,PA,12,35.81,429.72, ,5,0,0,0.0,0,3,3184.57,2754.85,1,3,1,2791.79,3,13000,1,1,0,7,2,0,0,96721945
1,3,76600.0,72,728,MA,1,64.38,64.38,customer call password change  ,0,1,0,64.44,1,3,64.38,0.0,0,1,1,0.06,0,11000,0,3,0,10,0,0,0,19040899
1,1,76900.0,4,703,NY,29,6.67,193.43, ,17,0,0,0.0,0,4,193.43,0.0,0,1,1,70.18,0,11000,1,2,0,2,0,0,0,38209105
1,5,37900.0,66,752,NY,4,518.42,2073.68,customer call customer call change request statement,1,0,0,0.0,0,2,2073.68,0.0,0,1,1,49.04,0,11000,1,5,0,6,3,0,0,49378693
1,1,41300.0,14,693,MA,2,30.79,61.58,plastic replace late payment card replace moneyorder,2,0,0,0.0,0,4,2696.74,2635.16,1,2,1,2675.3,4,17000,0,3,0,6,3,0,1,19784808
1,3,33400.0,54,709,NY,16,10.4,166.4, ,9,2,0,19.58,1,3,166.4,0.0,0,1,1,41.38,0,7000,1,1,0,8,0,0,0,37066500
1,3,36600.0,7,720,PA,15,4.71,70.65,plastic replace customer call late payment,10,3,1,11.24,1,3,70.65,0.0,0,1,1,91.93,0,10000,0,1,1,6,0,0,0,30907449
1,1,16300.0,14,671,ME,4,813.47,3253.88, ,1,0,0,0.0,0,3,162.69,0.0,0,1,1,50.15,0,6000,0,5,0,5,1,0,0,17752630
1,1,54100.0,4,672,RI,31,52.72,1634.32,plastic replace password change password change,19,4,0,212.48,3,5,1634.32,0.0,0,1,1,19.29,2,14000,1,3,0,6,2,0,0,61597492
1,1,27200.0,101,749,NY,14,18.64,260.96, ,6,0,0,0.0,0,2,60.0,0.0,0,1,1,62.09,0,22000,0,3,0,3,1,0,0,85035925
1,4,116500.0,41,647,NY,77,234.09,18024.93, ,49,9,1,2140.36,4,6,20827.89,2802.96,1,4,1,2830.83,6,9000,0,6,0,8,1,0,1,39835637
1,3,,41,683,NY,2,10.43,20.86, ,1,0,0,0.0,0,3,60.0,39.14,1,1,1,116.67,0,16000,0,3,0,4,0,0,0,85168644
1,3,41200.0,0,727,CT,25,82.09,2052.25,customer call statement statement,12,3,1,251.28,0,2,2052.25,0.0,0,1,1,41.28,1,13000,1,1,0,10,0,0,0,70772717
1,2,11000.0,36,706,ME,2,59.29,118.58, ,0,0,0,0.0,0,5,118.58,0.0,0,1,1,40.57,0,24000,1,4,0,7,1,0,0,05664059
1,2,14100.0,21,787,PA,25,117.76,2944.0,customer call billing address plastic replace,16,3,0,349.77,0,6,147.2,0.0,0,1,1,35.3,6,14000,1,5,0,4,1,0,0,69124854
1,1,91100.0,23,713,RI,70,513.78,35964.6,billing address billing address plastic replace overseas atm,34,7,0,3570.7,1,3,35964.6,0.0,0,1,1,37.08,3,12000,0,4,0,8,1,0,0,26310713
1,3,35700.0,18,685,MA,16,2.69,43.04,statement transfer transfer,10,1,0,2.5,1,6,60.0,16.96,1,3,1,44.72,0,11000,1,3,0,6,3,0,0,71200278
1,3,1400.0,16,729,PA,2,30.49,60.98,plastic replace statement late payment statement,1,0,0,0.0,0,6,60.98,0.0,0,1,1,78.91,0,29000,0,2,0,5,3,0,0,26295390
1,2,31100.0,39,769,NY,9,36.0,324.0, ,6,1,0,36.21,0,3,324.0,0.0,0,1,1,12.17,0,19000,1,0,0,7,0,0,0,28657235
1,2,64500.0,16,770,MA,7,24.16,169.12,change request card replace  ,2,1,1,27.0,1,5,169.12,0.0,0,1,1,55.92,0,8000,0,5,0,9,0,0,0,24446882
1,2,35200.0,8,682,CT,22,68.56,1508.32,plastic replace plastic replace change request,8,2,0,140.08,1,2,1508.32,0.0,0,1,1,50.31,2,11000,0,2,0,13,0,0,0,85279447
1,1,59500.0,6,725,NY,28,0.0,0.0,late payment plastic replace  ,13,6,2,0.0,3,5,60.0,60.0,1,1,1,60.0,0,11000,1,4,0,8,0,0,0,46106758
1,1,25800.0,6,764,ME,4,654.62,2618.48, ,2,1,0,653.82,1,4,2618.48,0.0,0,1,1,71.6,4,8000,0,5,0,9,2,0,0,36291936
1,1,7700.0,9,737,NY,1,40.71,40.71,customer call   billing address,1,0,0,0.0,0,3,60.0,19.29,1,2,1,48.56,0,11000,0,2,0,8,0,0,0,73489569
1,2,50900.0,2,691,VT,24,116.5,2796.0,customer call card replace password change,15,1,0,116.66,0,2,139.8,0.0,0,1,1,95.0,0,6000,1,2,0,5,1,0,0,77747877
1,1,98200.0,6,690,NY,32,78.9,2524.8, ,13,1,0,78.94,1,3,2524.8,0.0,0,1,1,35.8,1,15000,0,2,0,8,1,0,0,73710921
1,0,71000.0,11,738,RI,39,44.35,1729.65,  billing address customer call,17,4,1,177.97,2,5,1729.65,0.0,0,1,1,57.77,2,13000,1,1,0,9,1,0,0,67272216
1,2,24400.0,14,683,PA,19,169.38,3218.22,late payment statement change request statement,8,0,0,0.0,0,2,3218.22,0.0,0,1,1,42.67,0,15000,0,0,0,6,2,0,0,47020290
1,1,,3,633,NY,152,141.73,21542.96, ,85,10,4,1399.52,2,3,1077.15,0.0,0,1,1,39.18,3,17000,1,2,0,9,1,0,1,22854226
1,2,73700.0,23,736,NY,42,106.14,4457.88, ,21,10,1,1049.7,3,3,4457.88,0.0,0,1,1,43.4,3,7000,0,2,0,6,2,0,0,71711454
1,2,38300.0,27,723,RI,25,772.89,19322.25, ,15,2,0,1535.18,2,3,19322.25,0.0,0,1,1,46.94,3,12000,0,1,0,5,0,0,1,88006839
1,1,2000.0,12,707,PA,2,168.48,336.96,billing address change request statement atm limit,1,0,0,0.0,0,3,2959.55,2622.59,1,2,1,2676.42,3,12000,0,4,0,7,0,0,1,06279256
1,2,18000.0,1,715,ME,13,350.63,4558.19, ,5,0,0,0.0,0,3,4558.19,0.0,0,1,1,53.07,0,8000,1,6,0,4,2,0,0,58802097
1,1,22600.0,6,645,CT,1,739.14,739.14, ,1,0,0,0.0,0,2,739.14,0.0,0,1,1,32.32,0,10000,1,1,0,7,1,0,0,52383770
1,0,13600.0,6,753,CT,1,7.47,7.47,change request statement transfer,0,0,0,0.0,0,3,60.0,52.53,1,1,1,82.78,0,7000,1,2,0,5,2,0,0,54414620
1,0,28700.0,4,686,NY,5,48.34,241.7,plastic replace card replace statement,2,0,0,0.0,0,2,402.29,160.59,1,1,1,200.45,1,6000,0,4,0,8,1,0,0,53867820
1,0,116200.0,3,691,CT,253,97.37,24634.61, ,133,25,6,2389.21,10,5,36061.16,11426.55,1,1,1,11471.12,5,22000,0,3,0,6,2,0,1,85218649
1,1,9100.0,8,718,ME,7,53.66,375.62, ,3,1,1,53.0,0,2,375.62,0.0,0,1,1,37.92,0,17000,1,3,0,12,1,0,0,04704298
1,1,78600.0,4,742,PA,5,328.28,1641.4,billing address late payment change request,4,1,0,328.7,1,2,1641.4,0.0,0,1,1,55.09,2,9000,0,5,0,7,1,0,0,02692648
1,2,46700.0,18,744,NJ,27,62.29,1681.83,card replace password change card replace,14,3,0,189.33,0,4,84.09,0.0,0,1,1,46.41,4,11000,0,2,0,4,1,0,0,99339788
1,1,5200.0,34,708,PA,0,9.7,0.0,change request customer call change request,0,0,0,0.0,0,2,60.0,60.0,1,1,1,60.0,0,15000,0,6,0,4,0,0,0,19161559
1,2,85900.0,12,768,ME,1,372.66,372.66,billing address change request change request statement,1,0,0,0.0,0,2,372.66,0.0,0,1,1,45.31,0,15000,0,2,0,4,1,0,0,15258998
1,0,42700.0,0,718,CT,4,147.42,589.68,customer call customer call transfer statement,3,0,0,0.0,0,4,589.68,0.0,0,1,1,43.06,0,10000,1,5,0,7,0,0,0,59572371
1,0,22300.0,2,713,NY,1,251.4,251.4, ,1,0,0,0.0,0,4,60.0,0.0,0,1,1,80.55,0,16000,0,5,0,12,1,0,0,88658608
1,2,10000.0,16,707,NY,1,1.33,1.33,customer call   password change,1,0,0,0.0,0,3,60.0,58.67,1,3,1,129.49,0,11000,1,2,2,9,0,0,0,41265389
1,1,44200.0,11,701,NY,40,131.78,5271.2,  transfer customer call,15,2,0,260.18,0,3,5271.2,0.0,0,1,1,43.76,3,12000,1,1,0,3,3,0,0,27697571
1,1,91400.0,6,758,ME,104,193.33,20106.32,transfer transfer password change atm denied,46,9,0,1731.24,2,3,22796.64,2690.32,1,2,1,2711.41,3,14000,0,1,0,6,2,0,0,66963279
1,2,3700.0,63,741,NY,0,77.75,0.0, ,0,0,0,0.0,0,2,60.0,60.0,1,1,1,60.0,0,14000,1,4,0,6,2,0,0,13883355
1,2,16200.0,17,779,ME,24,1.44,34.56, ,10,3,1,4.88,0,2,60.0,25.44,1,1,1,90.75,0,9000,0,1,0,7,0,0,0,16675142
1,0,67400.0,33,693,CT,9,63.27,569.43, ,5,0,0,0.0,0,3,569.43,0.0,0,1,1,60.77,0,15000,1,1,0,6,4,0,0,47268043
1,0,62500.0,16,754,NY,52,76.19,3961.88, ,30,7,3,543.24,2,2,198.09,0.0,0,1,1,32.99,2,12000,1,1,0,3,0,0,0,21662693
1,0,57600.0,0,755,NY,80,20.7,1656.0, ,41,15,3,336.24,9,2,1656.0,0.0,0,1,1,84.29,2,11000,1,2,1,12,2,0,0,97706653
1,1,7700.0,13,704,NY,4,39.12,156.48,change request transfer password change statement,0,0,0,0.0,0,4,156.48,0.0,0,1,1,34.51,0,14000,1,2,0,5,1,0,0,67953165
1,1,68700.0,2,757,MA,6,14.14,84.84, ,2,0,0,0.0,0,3,2968.54,2883.7,1,1,1,2931.5,3,9000,1,3,0,9,1,0,0,12309509
1,1,15900.0,15,657,NJ,3,187.46,562.38, ,1,0,0,0.0,0,3,60.0,0.0,0,1,1,34.76,0,10000,1,3,0,6,3,0,0,44434047
1,1,27600.0,45,691,MA,4,0.0,0.0,statement plastic replace  ,3,0,0,0.0,0,4,60.0,60.0,1,1,1,60.0,0,8000,1,0,0,7,1,0,0,27956967
1,2,29500.0,3,726,NJ,0,60.31,0.0, ,0,0,0,0.0,0,2,60.0,60.0,1,2,1,60.0,0,8000,1,0,0,9,0,0,1,18420173
1,1,22100.0,11,754,CT,3,29.81,89.43,billing address card replace password change statement,1,0,0,0.0,0,2,89.43,0.0,0,1,1,64.09,0,16000,1,3,0,8,0,0,0,73053701
1,2,35200.0,7,702,ME,7,232.61,1628.27, ,4,1,0,234.3,1,2,1628.27,0.0,0,1,1,29.11,1,10000,1,3,0,3,0,0,0,64801848
1,1,72700.0,1,618,NJ,28,211.18,5913.04, ,12,4,0,844.16,2,2,5913.04,0.0,0,1,1,38.78,2,9000,1,2,0,10,0,0,0,49939002
1,1,8800.0,49,745,PA,2,19.6,39.2,change request late payment password change,1,0,0,0.0,0,4,60.0,20.8,1,1,1,83.33,0,11000,1,3,0,5,1,0,0,86752080
1,3,32500.0,61,695,RI,2,49.34,98.68,statement transfer statement statement,1,0,0,0.0,0,7,60.0,0.0,0,1,1,53.38,0,12000,0,2,0,7,0,0,0,78817676
1,1,14200.0,4,736,PA,3,691.59,2074.77, ,1,0,0,0.0,0,3,103.74,0.0,0,1,1,48.33,0,13000,0,9,0,8,1,0,0,39361595
1,2,89300.0,55,768,ME,15,156.92,2353.8,customer call change request billing address,9,3,1,476.58,0,4,2353.8,0.0,0,1,1,33.18,4,15000,1,2,0,7,0,0,0,73828241
1,1,21500.0,33,716,PA,11,6.08,66.88, ,4,2,0,11.92,0,6,2765.51,2698.63,1,1,1,2758.79,6,11000,0,3,0,5,1,0,1,59672221
1,0,108800.0,31,706,NY,29,23.41,678.89,card replace statement card replace,13,2,1,49.33,0,3,60.0,0.0,0,1,1,40.75,0,6000,1,2,0,9,4,0,0,60268288
1,1,109100.0,39,667,MA,180,409.43,73697.4,customer call password change card replace moneyorder payment,85,12,3,4958.13,5,2,73697.4,0.0,0,1,1,50.72,2,14000,1,5,0,8,3,0,1,32454532
1,1,29300.0,3,627,NY,12,410.6,4927.2,transfer late payment transfer atm limit,7,2,1,826.76,0,3,4927.2,0.0,0,1,1,57.88,3,11000,1,5,0,7,1,0,0,06223951
1,0,32600.0,19,723,NJ,4,0.0,0.0,password change customer call plastic replace,1,0,0,0.0,0,3,60.0,60.0,1,2,1,60.0,0,11000,1,6,0,5,2,0,1,89274495
1,2,16900.0,20,662,NY,5,124.29,621.45, ,2,0,0,0.0,0,3,2478.39,1856.94,1,1,1,1892.99,3,11000,0,3,0,9,1,0,0,95169935
1,3,39500.0,109,741,MA,8,0.0,0.0, ,7,0,0,0.0,0,8,60.0,60.0,1,1,1,60.0,0,7000,0,2,0,6,1,0,0,17751474
1,2,37400.0,30,662,NY,2,108.72,217.44, ,0,0,0,0.0,0,2,60.0,0.0,0,1,1,78.59,0,13000,1,4,0,4,0,0,0,78491679
1,3,8600.0,37,706,CT,1,222.67,222.67,password change late payment billing address statement,1,0,0,0.0,0,3,60.0,0.0,0,1,1,27.18,0,12000,1,3,0,8,2,0,0,52263033
1,1,31600.0,50,706,ME,2,412.22,824.44,card replace late payment plastic replace,2,0,0,0.0,0,6,1177.13,352.69,1,3,1,401.77,2,9000,1,9,0,6,1,0,0,86665139
1,2,21700.0,10,701,PA,6,6.89,41.34, ,3,1,1,9.0,0,4,60.0,18.66,1,2,1,91.12,0,11000,1,2,0,6,0,0,0,59043521
1,1,35900.0,17,612,RI,5,215.56,1077.8, ,4,0,0,0.0,0,3,1344.34,266.54,1,1,1,323.64,1,5000,1,5,0,10,0,0,0,82247098
1,0,53300.0,4,725,NJ,5,0.0,0.0,card replace customer call plastic replace,0,0,0,0.0,0,3,60.0,60.0,1,1,1,60.0,0,14000,1,4,0,6,1,0,0,38257712
1,3,47500.0,70,717,NY,18,12.18,219.24,late payment statement customer call,10,2,0,24.32,2,3,219.24,0.0,0,1,1,39.27,1,13000,1,1,0,8,0,0,0,30145162
1,0,79800.0,9,769,RI,58,58.37,3385.46,transfer password change password change withdraw limit,27,7,1,402.88,3,3,6084.9,2699.44,1,2,1,2725.09,3,19000,1,4,0,6,0,0,0,70502986
1,2,5600.0,52,745,MA,1,21.46,21.46, ,1,0,0,0.0,0,3,60.0,38.54,1,1,1,70.25,0,9000,1,2,0,12,2,0,0,70973635
1,2,164500.0,27,693,NH,2,153.23,306.46,statement plastic replace password change,1,0,0,0.0,0,3,60.0,0.0,0,1,1,42.35,0,11000,0,2,1,5,3,0,0,25079792
1,1,27700.0,67,682,NY,22,10.89,239.58, ,9,0,0,0.0,0,2,2944.24,2704.66,1,1,1,2733.02,2,7000,0,4,0,91,1,0,0,49725029
1,0,8500.0,2,715,NY,11,385.85,4244.35,customer call card replace password change cash,5,3,1,1115.58,0,3,4244.35,0.0,0,1,1,49.35,3,11000,0,5,0,5,0,0,0,50929489
1,4,51800.0,23,769,NY,38,92.22,3504.36,late payment   billing address,22,4,1,376.89,1,5,3504.36,0.0,0,1,1,37.49,5,16000,0,1,0,10,1,0,0,48892735
1,1,40700.0,10,756,MA,18,24.84,447.12,plastic replace customer call customer call,14,1,0,24.52,1,5,447.12,0.0,0,1,1,67.76,0,10000,0,1,0,6,1,0,0,39815429
1,2,37800.0,135,686,MA,3,9.9,29.7,password change billing address transfer,1,1,0,9.23,0,3,60.0,30.3,1,1,1,50.18,0,10000,0,1,0,5,1,0,0,27817667
1,2,38000.0,8,673,PA,28,254.8,7134.4,customer call transfer statement bitcoin,10,6,0,1529.22,0,4,356.72,0.0,0,1,1,62.28,4,16000,1,5,0,6,1,0,1,30573711
1,1,50400.0,35,672,MA,19,33.86,643.34,transfer customer call transfer,7,1,0,33.01,0,6,643.34,0.0,0,1,1,44.97,0,13000,1,2,0,7,0,0,0,07790193
1,0,37500.0,8,660,PA,11,232.14,2553.54,billing address late payment password change statement,5,0,0,0.0,0,4,127.68,0.0,0,1,1,51.59,0,14000,0,3,0,8,0,0,0,82159858
1,0,,15,729,NY,1,166.53,166.53,password change password change billing address statement,1,0,0,0.0,0,2,60.0,0.0,0,1,1,65.4,0,8000,1,4,0,4,1,0,0,96971559
1,0,56700.0,8,690,NJ,71,3.64,258.44, ,39,4,1,15.1,1,3,258.44,0.0,0,1,1,48.59,0,19000,1,0,0,4,1,0,0,31565017
1,1,52700.0,47,732,NY,21,105.7,2219.7, ,9,1,0,105.24,1,4,2219.7,0.0,0,1,1,59.19,0,14000,1,1,0,9,0,0,0,18936230
1,0,30700.0,20,724,NY,1,0.43,0.43,password change customer call password change,1,0,0,0.0,0,3,60.0,59.57,1,1,1,91.99,0,19000,0,1,0,5,1,0,0,03382320
1,3,13800.0,6,650,RI,8,0.0,0.0,password change   billing address overseas atm,2,3,0,0.0,1,2,2762.02,2762.02,1,2,1,2762.02,2,20000,1,1,0,6,1,0,0,17113542
1,0,92800.0,45,735,RI,6,86.91,521.46, ,3,0,0,0.0,0,5,521.46,0.0,0,1,1,38.59,0,8000,0,0,0,5,0,0,0,73362584
1,2,22900.0,16,703,NY,1,173.98,173.98, ,1,0,0,0.0,0,3,302.44,128.46,1,2,1,176.12,2,21000,0,1,0,8,2,0,0,65583660
1,0,25200.0,9,770,NY,3,169.74,509.22,billing address card replace card replace statement,1,0,0,0.0,0,4,509.22,0.0,0,1,1,36.46,0,6000,1,5,0,7,2,0,0,25782588
1,2,53600.0,39,790,PA,27,44.36,1197.72, ,15,2,1,83.52,2,3,3983.16,2785.44,1,1,1,2844.61,3,9000,1,1,0,8,2,0,0,68478594
1,1,16300.0,10,693,NY,26,39.35,1023.1,  late payment late payment,13,3,1,107.48,2,3,1023.1,0.0,0,1,1,63.19,2,8000,1,5,0,11,1,0,0,90204230
